CMDLINE C:\Users\Isaac\AppData\Local\Programs\Python\Python311\python.exe copy_of_4_double_dqn.py
MEM 2621.062500 1708462907.0450
MEM 2623.687500 1708462907.1452
MEM 2626.312500 1708462907.2455
MEM 2629.703125 1708462907.3461
MEM 2631.945312 1708462907.4466
MEM 2634.570312 1708462907.5470
MEM 2637.574219 1708462907.6473
MEM 2640.199219 1708462907.7476
MEM 2643.363281 1708462907.8481
MEM 2645.988281 1708462907.9483
MEM 2648.988281 1708462908.0485
MEM 2651.613281 1708462908.1488
MEM 2654.613281 1708462908.2492
MEM 2657.242188 1708462908.3497
MEM 2659.875000 1708462908.4502
MEM 2662.500000 1708462908.5507
MEM 2665.500000 1708462908.6512
MEM 2668.125000 1708462908.7518
MEM 2670.750000 1708462908.8522
MEM 2673.003906 1708462908.9528
MEM 2676.171875 1708462909.0532
MEM 2678.796875 1708462909.1536
MEM 2681.421875 1708462909.2539
MEM 2684.046875 1708462909.3543
MEM 2686.675781 1708462909.4549
MEM 2689.320312 1708462909.5555
MEM 2691.945312 1708462909.6558
MEM 2694.574219 1708462909.7563
MEM 2697.203125 1708462909.8569
MEM 2699.828125 1708462909.9573
MEM 2702.828125 1708462910.0577
MEM 2705.625000 1708462910.1581
MEM 2708.250000 1708462910.2587
MEM 2710.875000 1708462910.3592
MEM 2713.503906 1708462910.4595
MEM 2716.128906 1708462910.5599
MEM 2718.753906 1708462910.6601
MEM 2721.390625 1708462910.7607
MEM 2724.015625 1708462910.8612
MEM 2726.640625 1708462910.9617
MEM 2729.265625 1708462911.0620
MEM 2731.894531 1708462911.1626
MEM 2734.144531 1708462911.2630
MEM 2736.562500 1708462911.3634
MEM 2739.187500 1708462911.4640
MEM 2741.812500 1708462911.5645
MEM 2744.437500 1708462911.6650
MEM 2747.062500 1708462911.7655
MEM 2750.363281 1708462911.8659
MEM 2752.699219 1708462911.9660
MEM 2755.328125 1708462912.0664
MEM 2758.328125 1708462912.1669
MEM 2760.953125 1708462912.2676
MEM 2763.957031 1708462912.3679
MEM 2767.121094 1708462912.4681
MEM 2769.750000 1708462912.5686
MEM 2772.753906 1708462912.6693
MEM 2775.753906 1708462912.7699
MEM 2778.382812 1708462912.8705
MEM 2781.386719 1708462912.9710
MEM 2784.398438 1708462913.0713
MEM 2787.023438 1708462913.1720
MEM 2790.027344 1708462913.2722
MEM 2792.652344 1708462913.3725
MEM 2795.652344 1708462913.4730
MEM 2798.816406 1708462913.5735
MEM 2801.445312 1708462913.6740
MEM 2804.445312 1708462913.7746
MEM 2807.070312 1708462913.8751
MEM 2810.070312 1708462913.9756
MEM 2812.703125 1708462914.0760
MEM 2815.703125 1708462914.1766
MEM 2818.328125 1708462914.2772
MEM 2820.953125 1708462914.3776
MEM 2823.953125 1708462914.4781
MEM 2826.578125 1708462914.5786
MEM 2829.746094 1708462914.6788
MEM 2832.371094 1708462914.7792
MEM 2835.371094 1708462914.8797
MEM 2838.371094 1708462914.9802
MEM 2841.246094 1708462915.0807
MEM 2844.003906 1708462915.1812
MEM 2847.011719 1708462915.2817
